date,data,time
7.57999992,2016-5-3,14
7.67000008,2016-5-3,21
8.26000023,2016-5-3,22
8.03999996,2016-5-3,23
7.80999994,2016-5-4,00
7.71000004,2016-5-4,01
7.5,2016-5-4,02
7.3499999,2016-5-4,03
7.15999985,2016-5-4,04
7.63000011,2016-5-4,05
7.80999994,2016-5-4,06
7.55000019,2016-5-4,07
7.55999994,2016-5-4,08
7.82000017,2016-5-4,09
7.61000013,2016-5-4,10
8.02999973,2016-5-4,11
8.78999996,2016-5-4,12
9.51000023,2016-5-4,13
9.82999992,2016-5-4,14
10.2200003,2016-5-4,15
9.35999966,2016-5-4,16
10.1599998,2016-5-4,17
10.2799997,2016-5-4,18
10.8500004,2016-5-4,19
9.89999962,2016-5-4,20
10.1700001,2016-5-4,21
9.71000004,2016-5-4,22
9.0,2016-5-4,23
8.13000011,2016-5-5,00
7.51000023,2016-5-5,01
7.78999996,2016-5-5,02
7.6500001,2016-5-5,03
7.42999983,2016-5-5,08
7.9000001,2016-5-5,09
6.84000015,2016-5-5,10
6.55999994,2016-5-5,11
8.36999989,2016-5-5,12
9.03999996,2016-5-5,13
9.14999962,2016-5-5,14
7.36999989,2016-5-5,20
8.27999973,2016-5-5,21
7.61999989,2016-5-5,22
6.21999979,2016-5-5,23
6.07000017,2016-5-6,00
7.28999996,2016-5-6,01
7.57000017,2016-5-6,02
7.44999981,2016-5-6,03
7.46999979,2016-5-6,04
7.73999977,2016-5-6,05
7.80999994,2016-5-6,06
7.0999999,2016-5-6,07
8.15999985,2016-5-6,08
7.30000019,2016-5-6,09
9.06000042,2016-5-6,10
8.35000038,2016-5-6,11
9.64999962,2016-5-6,12
9.06000042,2016-5-6,13
9.77000046,2016-5-6,14
10.0299997,2016-5-6,15
9.75,2016-5-6,16
10.9200001,2016-5-6,17
9.67000008,2016-5-6,18
8.97000027,2016-5-6,19
8.92000008,2016-5-6,20
8.94999981,2016-5-6,21
9.07999992,2016-5-6,22
6.51999998,2016-5-6,23
9.07999992,2016-5-7,00
7.5999999,2016-5-7,01
7.69999981,2016-5-7,02
7.48000002,2016-5-7,03
6.86000013,2016-5-7,04
7.26999998,2016-5-7,05
7.88000011,2016-5-7,06
7.61000013,2016-5-7,07
7.80999994,2016-5-7,08
8.35999966,2016-5-7,09
8.11999989,2016-5-7,10
7.88000011,2016-5-7,11
7.73000002,2016-5-7,12
7.73999977,2016-5-7,13
7.53000021,2016-5-7,14
7.71999979,2016-5-7,15
7.07000017,2016-5-7,16
7.38999987,2016-5-7,17
7.34000015,2016-5-7,18
7.15999985,2016-5-7,19
7.07000017,2016-5-7,20
7.01999998,2016-5-7,21
7.03000021,2016-5-7,22
7.07999992,2016-5-7,23
6.48000002,2016-5-8,00
6.96000004,2016-5-8,01
6.36000013,2016-5-8,02
6.36000013,2016-5-8,03
6.07000017,2016-5-8,04
5.78999996,2016-5-8,05
5.82000017,2016-5-8,06
5.71000004,2016-5-8,07
6.19000006,2016-5-8,08
6.32999992,2016-5-8,09
6.36999989,2016-5-8,10
6.73999977,2016-5-8,11
7.21000004,2016-5-8,12
6.17999983,2016-5-8,13
6.78000021,2016-5-8,14
6.67000008,2016-5-8,15
7.0999999,2016-5-8,16
6.69999981,2016-5-8,17
6.19999981,2016-5-8,18
6.46000004,2016-5-8,19
5.5999999,2016-5-8,20
5.55000019,2016-5-8,21
5.01999998,2016-5-8,22
5.05999994,2016-5-8,23
4.63999987,2016-5-9,00
5.51000023,2016-5-9,01
5.28999996,2016-5-9,02
5.98000002,2016-5-9,03
5.36000013,2016-5-9,04
5.01000023,2016-5-9,05
5.26000023,2016-5-9,06
4.8499999,2016-5-9,07
4.3499999,2016-5-9,08
5.5,2016-5-9,09
5.51999998,2016-5-9,10
5.01000023,2016-5-9,11
6.05999994,2016-5-9,12
6.9000001,2016-5-9,13
5.90999985,2016-5-9,14
6.98000002,2016-5-9,15
7.09000015,2016-5-9,16
6.55000019,2016-5-9,17
5.86999989,2016-5-9,18
4.38000011,2016-5-9,19
4.59000015,2016-5-9,20
4.80999994,2016-5-9,21
4.42000008,2016-5-9,22
4.88999987,2016-5-9,23
5.5999999,2016-5-10,00
5.44000006,2016-5-10,01
5.67000008,2016-5-10,02
5.73000002,2016-5-10,03
6.23999977,2016-5-10,04
5.42999983,2016-5-10,05
6.17999983,2016-5-10,06
5.42000008,2016-5-10,07
5.73000002,2016-5-10,08
6.09000015,2016-5-10,09
6.09000015,2016-5-10,10
6.21000004,2016-5-10,11
6.23999977,2016-5-10,12
6.82999992,2016-5-10,13
7.26999998,2016-5-10,14
8.15999985,2016-5-10,15
8.55000019,2016-5-10,16
7.96999979,2016-5-10,17
8.06000042,2016-5-10,18
7.19000006,2016-5-10,19
6.01999998,2016-5-10,20
6.28000021,2016-5-10,21
7.13999987,2016-5-10,22
7.11000013,2016-5-10,23
6.23999977,2016-5-11,00
6.07999992,2016-5-11,01
6.3499999,2016-5-11,02
5.90999985,2016-5-11,03
6.19999981,2016-5-11,04
6.32999992,2016-5-11,05
6.26000023,2016-5-11,06
6.07000017,2016-5-11,07
6.48000002,2016-5-11,08
6.53999996,2016-5-11,09
6.94999981,2016-5-11,10
7.30000019,2016-5-11,11
8.80000019,2016-5-11,12
8.32999992,2016-5-11,13
8.71000004,2016-5-11,14
8.88000011,2016-5-11,15
8.97999954,2016-5-11,16
9.05000019,2016-5-11,17
8.97999954,2016-5-11,18
7.40999985,2016-5-11,19
7.59000015,2016-5-11,20
6.98000002,2016-5-11,21
6.38000011,2016-5-11,22
5.28000021,2016-5-11,23
6.48999977,2016-5-12,00
6.6500001,2016-5-12,01
7.03000021,2016-5-12,02
6.61000013,2016-5-12,03
6.30000019,2016-5-12,04
6.36000013,2016-5-12,05
5.78000021,2016-5-12,06
6.3499999,2016-5-12,07
6.48000002,2016-5-12,08
6.17999983,2016-5-12,09
6.76999998,2016-5-12,10
7.17999983,2016-5-12,11
8.34000015,2016-5-12,12
9.13000011,2016-5-12,13
9.26000023,2016-5-12,14
8.64000034,2016-5-12,15
8.35999966,2016-5-12,16
7.78999996,2016-5-12,17
8.23999977,2016-5-12,18
7.21000004,2016-5-12,19
7.4000001,2016-5-12,20
6.96000004,2016-5-12,21
6.17999983,2016-5-12,22
6.28000021,2016-5-12,23
6.8499999,2016-5-13,00
5.42999983,2016-5-13,01
5.0999999,2016-5-13,02
4.9000001,2016-5-13,03
4.48999977,2016-5-13,04
5.26999998,2016-5-13,05
5.34000015,2016-5-13,06
7.09000015,2016-5-13,07
7.5999999,2016-5-13,08
7.36999989,2016-5-13,09
7.51999998,2016-5-13,10
7.38999987,2016-5-13,11
8.26000023,2016-5-13,12
8.22999954,2016-5-13,13
8.76000023,2016-5-13,14
9.38000011,2016-5-13,15
9.18999958,2016-5-13,16
8.43999958,2016-5-13,17
7.98999977,2016-5-13,18
7.09000015,2016-5-13,19
6.98000002,2016-5-13,20
7.05000019,2016-5-13,21
6.84000015,2016-5-13,22
5.61000013,2016-5-13,23
5.90999985,2016-5-14,00
5.38000011,2016-5-14,01
5.55999994,2016-5-14,02
5.32000017,2016-5-14,03
5.32999992,2016-5-14,04
5.30999994,2016-5-14,05
6.1500001,2016-5-14,06
5.94000006,2016-5-14,07
6.21000004,2016-5-14,08
6.0999999,2016-5-14,09
7.51000023,2016-5-14,10
7.23000002,2016-5-14,11
8.5,2016-5-14,12
8.65999985,2016-5-14,13
8.47000027,2016-5-14,14
8.57999992,2016-5-14,15
8.52000046,2016-5-14,16
8.69999981,2016-5-14,17
7.57999992,2016-5-14,18
6.05000019,2016-5-14,19
5.6500001,2016-5-14,20
4.9000001,2016-5-14,21
6.09000015,2016-5-14,22
6.21000004,2016-5-14,23
6.19000006,2016-5-15,00
5.44999981,2016-5-15,01
5.38000011,2016-5-15,02
5.32999992,2016-5-15,03
5.01000023,2016-5-15,04
5.28999996,2016-5-15,05
5.53000021,2016-5-15,06
5.21999979,2016-5-15,07
6.48999977,2016-5-15,08
6.94000006,2016-5-15,09
7.01000023,2016-5-15,10
7.98000002,2016-5-15,11
8.64999962,2016-5-15,12
8.85000038,2016-5-15,13
8.06999969,2016-5-15,14
7.98999977,2016-5-15,15
6.26000023,2016-5-15,16
6.94999981,2016-5-15,17
7.71999979,2016-5-15,18
7.0999999,2016-5-15,19
6.63999987,2016-5-15,22
7.55999994,2016-5-15,23
6.88999987,2016-5-16,00
6.84000015,2016-5-16,01
