date,data,time
23.0499992,2016-5-18,20
23.7600002,2016-5-18,21
22.8400002,2016-5-18,22
22.5900002,2016-5-18,23
23.8600006,2016-5-19,00
23.8299999,2016-5-19,01
22.9099998,2016-5-19,02
23.3500004,2016-5-19,03
22.8299999,2016-5-19,04
23.75,2016-5-19,05
22.6700001,2016-5-19,06
22.8700008,2016-5-19,07
23.1800003,2016-5-19,08
21.8600006,2016-5-19,09
21.7600002,2016-5-19,10
20.0699997,2016-5-19,11
24.3199997,2016-5-19,12
22.8500004,2016-5-19,13
24.8899994,2016-5-19,14
23.0900002,2016-5-19,15
22.6200008,2016-5-19,16
25.3799992,2016-5-19,17
24.8999996,2016-5-19,18
25.6700001,2016-5-19,19
24.5699997,2016-5-19,20
23.8199997,2016-5-19,21
23.3799992,2016-5-19,22
22.8099995,2016-5-19,23
25.5200005,2016-5-20,00
23.3400002,2016-5-20,01
23.7299995,2016-5-20,02
22.7000008,2016-5-20,03
22.0699997,2016-5-20,04
22.8500004,2016-5-20,05
21.2000008,2016-5-20,06
20.5,2016-5-20,07
21.9599991,2016-5-20,08
19.2000008,2016-5-20,09
20.6399994,2016-5-20,10
19.6700001,2016-5-20,11
20.7299995,2016-5-20,12
20.8899994,2016-5-20,13
21.8400002,2016-5-20,14
20.6599998,2016-5-20,15
21.4799995,2016-5-20,16
22.4300003,2016-5-20,17
21.8600006,2016-5-20,18
21.2900009,2016-5-20,19
21.5699997,2016-5-20,20
22.25,2016-5-20,21
21.0900002,2016-5-20,22
21.5300007,2016-5-20,23
21.0100002,2016-5-21,00
20.5799999,2016-5-21,01
22.1200008,2016-5-21,02
19.8600006,2016-5-21,03
20.8099995,2016-5-21,04
17.6800003,2016-5-21,05
18.6499996,2016-5-21,06
18.3500004,2016-5-21,07
18.5699997,2016-5-21,08
19.2800007,2016-5-21,09
18.9500008,2016-5-21,10
20.1499996,2016-5-21,11
19.3600006,2016-5-21,12
18.3799992,2016-5-21,13
18.0900002,2016-5-21,14
18.2999992,2016-5-21,15
18.3299999,2016-5-21,16
18.4400005,2016-5-21,17
19.5300007,2016-5-21,18
20.6299992,2016-5-21,19
19.4699993,2016-5-21,20
19.2000008,2016-5-21,21
17.3999996,2016-5-21,22
17.7099991,2016-5-21,23
19.9699993,2016-5-22,00
20.6299992,2016-5-22,01
19.1499996,2016-5-22,02
20.9699993,2016-5-22,03
18.2099991,2016-5-22,04
20.4599991,2016-5-22,05
20.1900005,2016-5-22,06
19.0100002,2016-5-22,07
18.3400002,2016-5-22,08
18.6900005,2016-5-22,09
19.2700005,2016-5-22,10
19.3799992,2016-5-22,11
20.9899998,2016-5-22,12
19.4099998,2016-5-22,13
18.6800003,2016-5-22,14
19.6499996,2016-5-22,15
18.8299999,2016-5-22,16
19.8600006,2016-5-22,17
19.9300003,2016-5-22,18
20.0100002,2016-5-22,19
20.3799992,2016-5-22,20
20.1700001,2016-5-22,21
20.4500008,2016-5-22,22
20.1800003,2016-5-23,09
20.3700008,2016-5-23,10
20.3199997,2016-5-23,11
22.3899994,2016-5-23,12
19.0499992,2016-5-23,13
21.0200005,2016-5-23,14
21.9400005,2016-5-23,15
19.7000008,2016-5-23,16
20.1399994,2016-5-23,17
21.0300007,2016-5-23,18
22.4300003,2016-5-23,19
11.4499998,2016-5-23,20
19.5900002,2016-5-23,21
21.6100006,2016-5-23,22
11.3999996,2016-5-23,23
10.8000002,2016-5-24,00
22.0400009,2016-5-24,01
24.7399998,2016-5-24,02
21.9799995,2016-5-24,03
22.25,2016-5-24,04
22.1800003,2016-5-24,05
21.9400005,2016-5-24,06
21.9300003,2016-5-24,07
21.4300003,2016-5-24,08
22.6599998,2016-5-24,09
21.3099995,2016-5-24,10
20.3799992,2016-5-24,11
19.6800003,2016-5-24,12
20.5900002,2016-5-24,13
22.7900009,2016-5-24,14
23.9099998,2016-5-24,15
22.6800003,2016-5-24,16
23.9899998,2016-5-24,17
20.5499992,2016-5-24,18
23.8999996,2016-5-24,19
24.0,2016-5-24,20
22.2800007,2016-5-24,21
24.3500004,2016-5-24,22
25.0100002,2016-5-24,23
24.7000008,2016-5-25,00
25.0599995,2016-5-25,01
24.3700008,2016-5-25,02
23.8999996,2016-5-25,03
22.4599991,2016-5-25,04
23.4599991,2016-5-25,05
22.5100002,2016-5-25,06
22.2399998,2016-5-25,07
22.1900005,2016-5-25,08
21.6399994,2016-5-25,09
20.3299999,2016-5-25,10
21.75,2016-5-25,11
23.2700005,2016-5-25,12
22.6599998,2016-5-25,13
22.5699997,2016-5-25,14
24.5799999,2016-5-25,15
25.3999996,2016-5-25,16
26.3799992,2016-5-25,17
28.5200005,2016-5-25,18
26.25,2016-5-25,19
26.1100006,2016-5-25,20
17.1299992,2016-5-25,21
16.8999996,2016-5-25,22
26.6100006,2016-5-25,23
26.9699993,2016-5-26,00
23.2399998,2016-5-26,01
26.9599991,2016-5-26,02
25.4500008,2016-5-26,03
14.6499996,2016-5-26,04
25.9799995,2016-5-26,05
25.0,2016-5-26,06
23.3999996,2016-5-26,07
13.6300001,2016-5-26,08
23.6599998,2016-5-26,14
24.8400002,2016-5-26,15
25.2999992,2016-5-26,17
19.9699993,2016-5-26,18
23.2099991,2016-5-26,19
21.2900009,2016-5-26,20
21.5100002,2016-5-26,21
21.0300007,2016-5-26,22
20.0100002,2016-5-26,23
19.2099991,2016-5-27,00
26.3099995,2016-5-27,01
22.3199997,2016-5-27,02
19.2299995,2016-5-27,03
26.0400009,2016-5-27,04
25.6599998,2016-5-27,05
25.7299995,2016-5-27,06
24.1000004,2016-5-27,07
15.71,2016-5-27,08
23.5799999,2016-5-27,09
23.8199997,2016-5-27,10
23.3199997,2016-5-27,11
24.2800007,2016-5-27,12
24.9200001,2016-5-27,13
24.2399998,2016-5-27,14
25.2000008,2016-5-27,15
24.7399998,2016-5-27,16
20.0100002,2016-5-27,17
20.7199993,2016-5-27,18
21.3500004,2016-5-27,19
20.2900009,2016-5-27,20
26.6499996,2016-5-27,21
19.1200008,2016-5-27,22
26.8600006,2016-5-27,23
24.4599991,2016-5-28,00
27.5400009,2016-5-28,01
25.1299992,2016-5-28,02
24.5,2016-5-28,03
25.4799995,2016-5-28,04
18.6700001,2016-5-28,05
23.8400002,2016-5-28,06
23.4200001,2016-5-28,07
25.0900002,2016-5-28,08
24.5499992,2016-5-28,09
26.5300007,2016-5-28,10
25.2099991,2016-5-28,11
24.3299999,2016-5-28,12
25.2199993,2016-5-28,13
26.0499992,2016-5-28,14
26.5400009,2016-5-28,15
26.0499992,2016-5-28,16
27.7199993,2016-5-28,17
26.6900005,2016-5-28,18
26.9500008,2016-5-28,19
26.4500008,2016-5-28,20
24.1800003,2016-5-28,21
24.7099991,2016-5-28,22
24.1399994,2016-5-28,23
25.7399998,2016-5-29,00
26.2399998,2016-5-29,01
26.1499996,2016-5-29,02
26.5699997,2016-5-29,03
26.8199997,2016-5-29,04
27.5200005,2016-5-29,05
25.3999996,2016-5-29,06
25.6399994,2016-5-29,07
25.2399998,2016-5-29,08
25.6299992,2016-5-29,09
24.9200001,2016-5-29,10
25.0499992,2016-5-29,11
25.6399994,2016-5-29,12
24.4699993,2016-5-29,13
25.8999996,2016-5-29,14
25.6700001,2016-5-29,15
25.9099998,2016-5-29,16
25.3899994,2016-5-29,17
26.6800003,2016-5-29,18
27.0200005,2016-5-29,19
18.0100002,2016-5-29,20
26.7099991,2016-5-29,21
25.6200008,2016-5-29,22
19.1800003,2016-5-29,23
26.8700008,2016-5-30,00
26.3999996,2016-5-30,01
27.0200005,2016-5-30,02
26.9400005,2016-5-30,03
26.1900005,2016-5-30,04
26.4400005,2016-5-30,05
27.0499992,2016-5-30,06
19.9599991,2016-5-30,07
26.5900002,2016-5-30,08
