date,data,time
0.600000024,2016-5-3,14
13.71,2016-5-4,18
14.3599997,2016-5-4,19
15.5799999,2016-5-4,20
14.25,2016-5-4,21
13.2799997,2016-5-4,22
13.8800001,2016-5-4,23
10.8100004,2016-5-5,00
10.2299995,2016-5-5,01
9.88000011,2016-5-5,02
9.0,2016-5-5,03
15.1400003,2016-5-5,08
19.6499996,2016-5-5,09
37.2000008,2016-5-5,10
36.8899994,2016-5-5,11
13.6599998,2016-5-5,12
22.4200001,2016-5-5,13
20.3700008,2016-5-5,14
17.8099995,2016-5-5,20
16.7600002,2016-5-5,21
14.0100002,2016-5-5,22
16.6299992,2016-5-5,23
15.8999996,2016-5-6,00
14.54,2016-5-6,01
13.2299995,2016-5-6,02
12.5900002,2016-5-6,03
13.7200003,2016-5-6,04
12.8100004,2016-5-6,05
16.0,2016-5-6,06
14.8999996,2016-5-6,07
14.9899998,2016-5-6,08
12.9499998,2016-5-6,09
15.6000004,2016-5-6,10
13.54,2016-5-6,11
14.6400003,2016-5-6,12
16.4500008,2016-5-6,13
14.0100002,2016-5-6,14
15.0200005,2016-5-6,15
18.3500004,2016-5-6,16
13.3400002,2016-5-6,17
16.4300003,2016-5-6,18
12.9399996,2016-5-6,19
15.4799995,2016-5-6,20
15.9499998,2016-5-6,21
18.8500004,2016-5-6,22
25.7299995,2016-5-6,23
16.7399998,2016-5-7,00
14.3100004,2016-5-7,01
15.8100004,2016-5-7,02
15.3699999,2016-5-7,03
13.3900003,2016-5-7,04
13.7200003,2016-5-7,05
14.1300001,2016-5-7,06
12.71,2016-5-7,07
14.3999996,2016-5-7,08
13.4799995,2016-5-7,09
11.5100002,2016-5-7,10
16.3400002,2016-5-7,11
14.6400003,2016-5-7,12
15.8299999,2016-5-7,13
16.3199997,2016-5-7,14
16.9599991,2016-5-7,15
18.8999996,2016-5-7,16
18.1200008,2016-5-7,17
21.4599991,2016-5-7,18
24.0499992,2016-5-7,19
22.5200005,2016-5-7,20
22.8700008,2016-5-7,21
21.8700008,2016-5-7,22
24.1000004,2016-5-7,23
23.1299992,2016-5-8,00
24.3500004,2016-5-8,01
24.3899994,2016-5-8,02
24.1000004,2016-5-8,03
21.0699997,2016-5-8,04
24.8299999,2016-5-8,05
24.1900005,2016-5-8,06
22.7700005,2016-5-8,07
28.6700001,2016-5-8,08
30.3500004,2016-5-8,09
30.9200001,2016-5-8,10
33.2700005,2016-5-8,11
29.5799999,2016-5-8,12
35.8800011,2016-5-8,13
34.8300018,2016-5-8,14
35.6300011,2016-5-8,15
32.9000015,2016-5-8,16
30.6399994,2016-5-8,17
34.5099983,2016-5-8,18
27.1000004,2016-5-8,19
34.2099991,2016-5-8,20
31.3299999,2016-5-8,21
28.1700001,2016-5-8,22
25.3999996,2016-5-8,23
31.6399994,2016-5-9,00
18.8600006,2016-5-9,01
23.8099995,2016-5-9,02
22.2900009,2016-5-9,03
22.5599995,2016-5-9,04
20.7999992,2016-5-9,05
19.6399994,2016-5-9,06
20.4099998,2016-5-9,07
22.7000008,2016-5-9,08
23.0900002,2016-5-9,09
26.3199997,2016-5-9,10
23.2600002,2016-5-9,11
30.1100006,2016-5-9,12
27.1299992,2016-5-9,13
26.3700008,2016-5-9,14
28.0799999,2016-5-9,15
39.3300018,2016-5-9,16
40.1599998,2016-5-9,17
30.9300003,2016-5-9,18
34.3199997,2016-5-9,19
